section,row,seat,price_usd,selection_type,scraped_at
110,2,9,,,2026-07-08T00:20:45Z
110,2,10,,,2026-07-08T00:20:45Z
110,2,5,,,2026-07-08T00:20:45Z
110,2,6,,,2026-07-08T00:20:45Z
108,2,7,,,2026-07-08T00:20:45Z
108,2,8,,,2026-07-08T00:20:45Z
108,2,19,,,2026-07-08T00:20:45Z
108,2,20,,,2026-07-08T00:20:45Z
6,9,9,,,2026-07-08T00:20:45Z
6,9,10,,,2026-07-08T00:20:45Z
16,5,7,,,2026-07-08T00:20:45Z
16,5,8,,,2026-07-08T00:20:45Z
11,8,13,,,2026-07-08T00:20:45Z
11,8,14,,,2026-07-08T00:20:45Z
3,5,5,,,2026-07-08T00:20:45Z
3,5,6,,,2026-07-08T00:20:45Z
3,7,1,,,2026-07-08T00:20:45Z
3,7,2,,,2026-07-08T00:20:45Z
3,6,5,,,2026-07-08T00:20:45Z
3,6,6,,,2026-07-08T00:20:45Z
14,1,8,,,2026-07-08T00:20:45Z
14,1,9,,,2026-07-08T00:20:45Z
5,8,7,,,2026-07-08T00:20:45Z
5,8,8,,,2026-07-08T00:20:45Z
104,3,6,,,2026-07-08T00:20:45Z
104,3,7,,,2026-07-08T00:20:45Z
104,2,6,,,2026-07-08T00:20:45Z
104,2,7,,,2026-07-08T00:20:45Z
15,1,5,,,2026-07-08T00:20:45Z
15,1,6,,,2026-07-08T00:20:45Z
15,1,13,,,2026-07-08T00:20:45Z
15,1,14,,,2026-07-08T00:20:45Z
15,1,15,,,2026-07-08T00:20:45Z
15,1,16,,,2026-07-08T00:20:45Z
129,2,14,,,2026-07-08T00:20:45Z
129,2,15,,,2026-07-08T00:20:45Z
121,1,5,,,2026-07-08T00:20:45Z
121,1,6,,,2026-07-08T00:20:45Z
1,5,5,,,2026-07-08T00:20:45Z
1,5,6,,,2026-07-08T00:20:45Z
1,5,7,,,2026-07-08T00:20:45Z
1,5,8,,,2026-07-08T00:20:45Z
