section,row,seat,price_usd,selection_type,scraped_at
101,11,19,430.0,resale,2026-04-11T00:52:04Z
101,11,20,430.0,resale,2026-04-11T00:52:04Z
222,3,11,162.4,standard,2026-04-11T00:52:04Z
222,3,12,162.4,standard,2026-04-11T00:52:04Z
231,1,1,162.4,standard,2026-04-11T00:52:04Z
231,1,2,162.4,standard,2026-04-11T00:52:04Z
231,6,4,162.4,standard,2026-04-11T00:52:04Z
231,6,3,162.4,standard,2026-04-11T00:52:04Z
234,2,11,275.0,resale,2026-04-11T00:52:04Z
234,2,12,275.0,resale,2026-04-11T00:52:04Z
234,2,15,275.0,resale,2026-04-11T00:52:04Z
234,2,16,275.0,resale,2026-04-11T00:52:04Z
307,10,15,62.5,resale,2026-04-11T00:52:04Z
307,10,16,62.5,resale,2026-04-11T00:52:04Z
313,7,5,54.88,standard,2026-04-11T00:52:04Z
313,7,6,54.88,standard,2026-04-11T00:52:04Z
317,2,19,125.0,resale,2026-04-11T00:52:04Z
317,2,20,125.0,resale,2026-04-11T00:52:04Z
322,16,20,68.75,resale,2026-04-11T00:52:04Z
322,16,21,68.75,resale,2026-04-11T00:52:04Z
324,10,3,54.88,standard,2026-04-11T00:52:04Z
324,10,4,54.88,standard,2026-04-11T00:52:04Z
324,9,7,54.88,standard,2026-04-11T00:52:04Z
324,9,8,54.88,standard,2026-04-11T00:52:04Z
325,3,5,54.88,standard,2026-04-11T00:52:04Z
325,3,6,54.88,standard,2026-04-11T00:52:04Z
329,10,7,70.0,resale,2026-04-11T00:52:04Z
329,10,8,70.0,resale,2026-04-11T00:52:04Z
330,11,17,71.25,resale,2026-04-11T00:52:04Z
330,11,18,71.25,resale,2026-04-11T00:52:04Z
