section,row,seat,price_usd,selection_type,scraped_at
135,18,13,177.17,standard,2026-07-04T23:09:43Z
135,18,14,177.17,standard,2026-07-04T23:09:43Z
135,18,15,177.17,standard,2026-07-04T23:09:43Z
16,8,5,177.17,standard,2026-07-04T23:09:43Z
20,11,7,177.17,standard,2026-07-04T23:09:43Z
238,7,11,155.17,standard,2026-07-04T23:09:43Z
32,8,5,177.17,standard,2026-07-04T23:09:43Z
32,8,6,177.17,standard,2026-07-04T23:09:43Z
38,9,5,177.17,standard,2026-07-04T23:09:43Z
38,9,6,177.17,standard,2026-07-04T23:09:43Z
38,9,7,177.17,standard,2026-07-04T23:09:43Z
39,7,7,177.17,standard,2026-07-04T23:09:43Z
39,7,8,177.17,standard,2026-07-04T23:09:43Z
39,7,9,177.17,standard,2026-07-04T23:09:43Z
39,10,5,177.17,standard,2026-07-04T23:09:43Z
39,10,6,177.17,standard,2026-07-04T23:09:43Z
39,10,7,177.17,standard,2026-07-04T23:09:43Z
39,10,8,177.17,standard,2026-07-04T23:09:43Z
39,10,9,177.17,standard,2026-07-04T23:09:43Z
39,10,10,177.17,standard,2026-07-04T23:09:43Z
39,11,3,177.17,standard,2026-07-04T23:09:43Z
39,11,4,177.17,standard,2026-07-04T23:09:43Z
39,11,5,177.17,standard,2026-07-04T23:09:43Z
39,11,6,177.17,standard,2026-07-04T23:09:43Z
39,11,7,177.17,standard,2026-07-04T23:09:43Z
39,11,8,177.17,standard,2026-07-04T23:09:43Z
39,11,9,177.17,standard,2026-07-04T23:09:43Z
39,11,10,177.17,standard,2026-07-04T23:09:43Z
39,12,11,177.17,standard,2026-07-04T23:09:43Z
39,12,12,177.17,standard,2026-07-04T23:09:43Z
39,13,7,177.17,standard,2026-07-04T23:09:43Z
39,13,8,177.17,standard,2026-07-04T23:09:43Z
42,9,8,177.17,standard,2026-07-04T23:09:43Z
